Retailer,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Method
1,0,0,0,3,55,900,495000,173250,0.35,1
1,0,0,0,4,65,875,568750,170625,0.3,1
1,0,0,0,5,70,975,682500,170625,0.25,1
1,0,0,0,0,65,1200,780000,390000,0.5,1
1,0,0,0,1,55,1000,550000,165000,0.3,1
1,0,0,0,2,55,950,522500,182875,0.35,1
1,0,0,0,3,55,900,495000,173250,0.35,1
1,0,0,0,4,65,900,585000,175500,0.3,1
1,0,0,0,5,70,1000,700000,175000,0.25,1
2,0,0,0,0,25,900,225000,78750,0.35,1
2,0,0,0,1,35,900,315000,110250,0.35,1
2,0,0,0,2,35,700,245000,85750,0.35,1
2,0,0,0,3,35,700,245000,110250,0.45,1
2,1,1,1,4,40,550,220000,66000,0.3,1
2,1,1,1,5,35,700,245000,122500,0.5,1
2,1,1,1,0,25,850,212500,74375,0.35,1
2,1,1,1,1,35,850,297500,104125,0.35,1
2,1,1,1,2,35,675,236250,82687,0.35,1
2,1,1,1,3,35,625,218750,98437,0.45,1
2,1,1,1,4,40,500,200000,60000,0.3,1
2,1,1,1,5,35,700,245000,122500,0.5,1
2,1,1,1,0,30,875,262500,91875,0.35,1
2,1,1,1,1,40,875,350000,122499,0.35,1
2,1,1,1,2,35,700,245000,85750,0.35,1
2,1,1,1,3,40,600,240000,108000,0.45,1
2,1,1,1,4,45,500,225000,67500,0.3,1
2,1,1,1,5,40,650,260000,130000,0.5,1
2,1,1,1,0,30,900,270000,94500,0.35,1
2,1,1,1,1,40,900,360000,125999,0.35,1
2,1,1,1,2,35,725,253750,88812,0.35,1
2,1,1,1,3,40,625,250000,112500,0.45,1
1,1,1,1,4,45,525,236250,70875,0.3,1
1,1,1,1,5,40,800,320000,160000,0.5,1
1,1,1,1,0,30,925,277500,97125,0.35,1
1,1,1,1,1,40,925,370000,129499,0.35,1
1,1,1,1,2,35,775,271250,94937,0.35,1
1,1,1,1,3,40,700,280000,126000,0.45,1
1,1,1,1,4,45,600,270000,81000,0.3,1
1,1,1,1,5,40,950,380000,190000,0.5,1
1,1,1,1,0,40,950,380000,133000,0.35,1
1,1,1,1,1,45,950,427500,149625,0.35,1
1,1,1,1,2,40,800,320000,112000,0.35,1
1,1,1,1,3,40,750,300000,135000,0.45,1
1,1,1,1,4,45,650,292500,87750,0.3,1
1,1,1,1,5,50,1000,500000,250000,0.5,1
1,1,1,1,0,40,950,380000,133000,0.35,1
1,1,1,1,1,45,950,427500,149625,0.35,1
1,1,1,1,2,40,1100,440000,154000,0.35,1
1,1,1,1,3,40,700,280000,126000,0.45,1
1,1,1,1,4,45,700,315000,94500,0.3,1
1,1,1,1,5,50,975,487500,243750,0.5,1
1,1,1,1,0,40,925,370000,129499,0.35,1
1,1,1,1,1,45,925,416250,145687,0.35,1
1,1,1,1,2,40,1100,440000,154000,0.35,1
1,1,1,1,3,40,650,260000,117000,0.45,1
1,1,1,1,4,45,650,292500,87750,0.3,1
1,1,1,1,5,50,900,450000,225000,0.5,1
1,1,1,1,0,45,850,382500,133875,0.35,1
1,1,1,1,1,45,850,382500,133875,0.35,1
1,1,1,1,2,50,900,450000,157500,0.35,1
1,1,1,1,3,50,625,312500,140625,0.45,1
1,1,1,1,4,45,625,281250,84375,0.3,1
1,1,1,1,5,55,850,467500,233750,0.5,1
1,1,1,1,0,45,800,360000,125999,0.35,1
1,1,1,1,1,45,800,360000,125999,0.35,1
1,1,1,1,2,50,750,375000,131250,0.35,1
1,1,1,1,3,50,600,300000,135000,0.45,1
1,1,1,1,4,45,575,258750,77625,0.3,1
1,1,1,1,5,55,750,412500,206250,0.5,1
1,1,1,1,0,45,900,405000,141750,0.35,1
1,1,1,1,1,45,900,405000,141750,0.35,1
1,1,1,1,2,50,825,412500,144375,0.35,1
1,1,1,1,3,50,675,337500,151875,0.45,1
1,1,1,1,4,45,650,292500,87750,0.3,1
1,1,1,1,5,55,850,467500,233750,0.5,1
1,1,1,1,0,45,950,427500,149625,0.35,1
1,1,1,1,1,45,950,427500,149625,0.35,1
1,1,1,1,2,50,850,425000,148750,0.35,1
1,1,1,1,3,50,700,350000,157500,0.45,1
1,1,1,1,4,45,650,292500,87750,0.3,1
1,1,1,1,5,55,900,495000,247500,0.5,1
3,1,1,1,0,40,775,310000,108500,0.35,1
3,1,1,1,1,50,775,387500,77500,0.2,1
3,1,1,1,2,50,775,387500,135625,0.35,1
3,1,1,1,3,50,625,312500,93750,0.3,1
3,2,2,2,4,55,575,316250,158125,0.5,1
3,2,2,2,5,50,775,387500,58125,0.15,1
3,2,2,2,0,40,825,330000,115500,0.35,1
3,2,2,2,1,50,725,362500,72500,0.2,1
3,2,2,2,2,50,725,362500,126875,0.35,1
3,2,2,2,3,50,575,287500,86250,0.3,1
3,2,2,2,4,55,500,275000,137500,0.5,1
3,2,2,2,5,50,700,350000,52500,0.15,1
3,2,2,2,0,50,850,425000,148750,0.35,1
3,2,2,2,1,60,700,420000,84000,0.2,1
3,2,2,2,2,60,700,420000,147000,0.35,1
3,2,2,2,3,60,600,360000,108000,0.3,1
3,2,2,2,4,65,500,325000,162500,0.5,1
3,2,2,2,5,60,700,420000,63000,0.15,1
3,2,2,2,0,60,875,525000,183750,0.35,1
3,2,2,2,1,65,675,438750,87750,0.2,1
3,2,2,2,2,65,725,471250,164937,0.35,1
3,2,2,2,3,60,625,375000,112500,0.3,1
3,2,2,2,4,65,525,341250,170625,0.5,1
3,2,2,2,5,80,700,560000,84000,0.15,1
3,2,2,2,0,60,900,540000,216000,0.4,1
3,2,2,2,1,65,750,487500,121875,0.25,1
3,2,2,2,2,65,750,487500,195000,0.4,1
3,2,2,2,3,60,650,390000,136500,0.35,1
3,2,2,2,4,65,550,357500,196625,0.55,1
3,2,2,2,5,80,725,580000,116000,0.2,1
3,2,2,2,0,60,975,585000,234000,0.4,1
3,2,2,2,1,65,825,536250,134062,0.25,1
3,2,2,2,2,65,825,536250,214500,0.4,1
3,2,2,2,3,60,700,420000,147000,0.35,1
3,2,2,2,4,65,575,373750,205562,0.55,1
3,2,2,2,5,80,875,700000,140000,0.2,1
3,2,2,2,0,60,1025,615000,215250,0.35,1
3,2,2,2,1,65,875,568750,113750,0.2,1
3,2,2,2,2,65,825,536250,187687,0.35,1
3,2,2,2,3,60,725,435000,130500,0.3,1
3,2,2,2,4,65,775,503750,251875,0.5,1
3,2,2,2,5,80,775,620000,93000,0.15,1
3,2,2,2,0,65,975,633750,221812,0.35,1
3,2,2,2,1,70,925,647500,129500,0.2,1
3,2,2,2,2,65,800,520000,182000,0.35,1
3,2,2,2,3,65,750,487500,146250,0.3,1
3,2,2,2,4,75,750,562500,281250,0.5,1
3,2,2,2,5,80,725,580000,87000,0.15,1
3,2,2,2,0,55,925,508750,152625,0.3,1
3,2,2,2,1,60,925,555000,83250,0.15,1
3,2,2,2,2,55,775,426250,127875,0.3,1
3,2,2,2,3,55,725,398750,99687,0.25,1
3,2,2,2,4,65,725,471250,212062,0.45,1
3,2,2,2,5,70,775,542500,54250,0.1,1
3,2,2,2,0,55,875,481250,144375,0.3,1
3,2,2,2,1,60,875,525000,78750,0.15,1
3,2,2,2,2,55,700,385000,115500,0.3,1
3,2,2,2,3,55,675,371250,92812,0.25,1
3,2,2,2,4,65,650,422500,190125,0.45,1
3,2,2,2,5,70,700,490000,49000,0.1,1
3,2,2,2,0,55,875,481250,144375,0.3,1
3,2,2,2,1,60,875,525000,78750,0.15,1
3,2,2,2,2,55,725,398750,119625,0.3,1
3,2,2,2,3,55,700,385000,96250,0.25,1
3,2,2,2,4,65,650,422500,190125,0.45,1
3,2,2,2,5,70,775,542500,54250,0.1,1
3,2,2,2,0,55,975,536250,160875,0.3,1
3,2,2,2,1,60,975,585000,87750,0.15,1
3,2,2,2,2,55,775,426250,127875,0.3,1
3,2,2,2,3,55,775,426250,106562,0.25,1
3,2,2,2,4,65,700,455000,204750,0.45,1
3,2,2,2,5,70,800,560000,56000,0.1,1
4,2,2,2,0,35,700,245000,98000,0.4,1
4,2,2,2,1,45,700,315000,78750,0.25,1
4,2,2,2,2,45,700,315000,126000,0.4,1
4,2,2,2,3,45,550,247500,86625,0.35,1
4,2,2,3,4,50,500,250000,137500,0.55,1
4,2,2,3,5,45,700,315000,63000,0.2,1
4,2,2,3,0,35,750,262500,105000,0.4,1
4,2,2,3,1,45,650,292500,73125,0.25,1
4,2,2,3,2,45,675,303750,121500,0.4,1
4,2,2,3,3,45,525,236250,82687,0.35,1
4,2,2,3,4,50,450,225000,123750,0.55,1
4,2,2,3,5,45,650,292500,58500,0.2,1
4,2,2,3,0,35,800,280000,112000,0.4,1
4,2,2,3,1,45,650,292500,73125,0.25,1
4,2,2,3,2,45,650,292500,117000,0.4,1
4,2,2,3,3,45,550,247500,86625,0.35,1
4,2,2,3,4,50,425,212500,116875,0.55,1
4,2,2,3,5,45,625,281250,56250,0.2,1
4,2,2,3,0,45,800,360000,144000,0.4,1
4,2,2,3,1,50,600,300000,75000,0.25,1
4,2,2,3,2,50,625,312500,125000,0.4,1
4,2,2,3,3,45,525,236250,82687,0.35,1
4,2,2,3,4,50,425,212500,116875,0.55,1
4,2,2,3,5,65,600,390000,78000,0.2,1
4,2,2,3,0,45,800,360000,144000,0.4,1
4,2,2,3,1,50,650,325000,81250,0.25,1
4,2,2,3,2,50,650,325000,130000,0.4,1
4,2,2,3,3,45,550,247500,86625,0.35,1
4,2,2,3,4,50,450,225000,123750,0.55,1
4,2,2,3,5,65,625,406250,81250,0.2,1
4,2,2,3,0,45,900,405000,162000,0.4,1
4,2,2,3,1,50,750,375000,93750,0.25,1
4,2,2,3,2,50,750,375000,150000,0.4,1
4,2,2,3,3,45,625,281250,98437,0.35,1
4,2,2,3,4,50,500,250000,137500,0.55,1
4,2,2,3,5,65,800,520000,104000,0.2,1
4,2,2,3,0,45,950,427500,171000,0.4,1
4,2,2,3,1,50,800,400000,100000,0.25,1
4,2,2,3,2,50,750,375000,150000,0.4,1
4,2,2,3,3,45,650,292500,102375,0.35,1
4,2,2,3,4,50,700,350000,192500,0.55,1
4,2,2,3,5,65,700,455000,91000,0.2,1
4,2,2,3,0,50,900,450000,180000,0.4,1
4,2,2,3,1,55,850,467500,116875,0.25,1
4,2,2,3,2,50,725,362500,145000,0.4,1
4,2,2,3,3,50,675,337500,118124,0.35,1
4,2,2,3,4,60,675,405000,222750,0.55,1
4,2,2,3,5,65,650,422500,84500,0.2,1
4,2,2,3,0,50,850,425000,170000,0.4,1
4,2,2,3,1,55,850,467500,116875,0.25,1
4,2,2,3,2,50,700,350000,140000,0.4,1
4,2,2,3,3,50,650,325000,113750,0.35,1
4,2,2,3,4,60,650,390000,214500,0.55,1
4,2,2,3,5,65,700,455000,91000,0.2,1
4,2,2,3,0,50,800,400000,160000,0.4,1
4,2,2,3,1,55,800,440000,110000,0.25,1
4,2,2,3,2,50,650,325000,130000,0.4,1
4,2,2,3,3,50,625,312500,109375,0.35,1
4,2,2,3,4,60,600,360000,198000,0.55,1
4,2,2,3,5,65,650,422500,84500,0.2,1
4,2,2,3,0,50,825,412500,165000,0.4,1
4,2,2,3,1,55,825,453750,113437,0.25,1
4,2,2,3,2,50,675,337500,135000,0.4,1
4,2,2,3,3,50,650,325000,113750,0.35,1
4,2,2,3,4,60,600,360000,198000,0.55,1
4,2,2,3,5,65,700,455000,91000,0.2,1
4,2,2,3,0,50,900,450000,180000,0.4,1
4,2,2,3,1,55,900,495000,123750,0.25,1
4,2,2,3,2,50,700,350000,140000,0.4,1
4,2,2,3,3,50,700,350000,122499,0.35,1
4,2,2,3,4,60,625,375000,206250,0.55,1
4,2,2,3,5,65,725,471250,94250,0.2,1
0,2,2,3,0,45,475,213750,85500,0.4,1
0,2,2,3,1,45,275,123750,43312,0.35,1
0,2,2,3,2,35,275,96250,33687,0.35,1
0,2,2,3,3,40,125,50000,20000,0.4,1
0,3,3,4,4,55,175,96249,33687,0.35,1
0,3,3,4,5,45,275,123750,61875,0.5,1
0,3,3,4,0,45,525,236250,94500,0.4,1
0,3,3,4,1,45,175,78750,27562,0.35,1
0,3,3,4,2,35,225,78750,27562,0.35,1
0,3,3,4,3,40,100,40000,16000,0.4,1
0,3,3,4,4,55,175,96249,33687,0.35,1
0,3,3,4,5,45,275,123750,61875,0.5,1
0,3,3,4,0,50,495,247500,99000,0.4,1
0,3,3,4,1,50,200,100000,35000,0.35,1
0,3,3,4,2,40,225,90000,31499,0.35,1
0,3,3,4,3,45,75,33750,13500,0.4,1
0,3,3,4,4,60,125,75000,26250,0.35,1
0,3,3,4,5,50,225,112500,56250,0.5,1
0,3,3,4,0,50,450,225000,90000,0.4,1
0,3,3,4,1,50,150,75000,26250,0.35,1
0,3,3,4,2,40,150,60000,21000,0.35,1
0,3,3,4,3,45,75,33750,13500,0.4,1
0,3,3,4,4,60,100,60000,21000,0.35,1
0,3,3,4,5,50,225,112500,56250,0.5,1
0,3,3,4,0,60,495,297000,118800,0.4,1
0,3,3,4,1,55,200,110000,38500,0.35,1
0,3,3,4,2,50,175,87500,30624,0.35,1
0,3,3,4,3,50,100,50000,20000,0.4,1
0,3,3,4,4,60,125,75000,26250,0.35,1
0,3,3,4,5,65,250,162500,81250,0.5,1
0,3,3,4,0,50,500,250000,100000,0.4,1
0,3,3,4,1,45,250,112500,39375,0.35,1
0,3,3,4,2,40,200,80000,28000,0.35,1
0,3,3,4,3,40,175,70000,28000,0.4,1
0,3,3,4,4,50,175,87500,30624,0.35,1
0,3,3,4,5,55,350,192500,96250,0.5,1
0,3,3,4,0,50,575,287500,115000,0.4,1
0,3,3,4,1,45,325,146250,51187,0.35,1
0,3,3,4,2,40,250,100000,35000,0.35,1
0,3,3,4,3,40,200,80000,32000,0.4,1
0,3,3,4,4,50,225,112500,39375,0.35,1
0,3,3,4,5,55,400,220000,110000,0.5,1
0,3,3,4,0,50,550,275000,110000,0.4,1
0,3,3,4,1,45,325,146250,51187,0.35,1
0,3,3,4,2,40,250,100000,35000,0.35,1
0,3,3,4,3,40,225,90000,36000,0.4,1
0,3,3,4,4,50,200,100000,35000,0.35,1
0,3,3,4,5,55,375,206250,103125,0.5,1
0,3,3,4,0,50,500,250000,100000,0.4,1
0,3,3,4,1,45,300,135000,47250,0.35,1
0,3,3,4,2,40,200,80000,28000,0.35,1
0,3,3,4,3,40,175,70000,28000,0.4,1
0,3,3,4,4,50,175,87500,30624,0.35,1
0,3,3,4,5,55,250,137500,68750,0.5,1
0,3,3,4,0,60,425,255000,102000,0.4,1
0,3,3,4,1,50,250,125000,43750,0.35,1
0,3,3,4,2,50,150,75000,26250,0.35,1
0,3,3,4,3,50,125,62500,25000,0.4,1
0,3,3,4,4,60,125,75000,26250,0.35,1
0,3,3,4,5,65,250,162499,81249,0.5,1
0,3,3,4,0,60,400,240000,96000,0.4,1
0,3,3,4,1,50,250,125000,43750,0.35,1
0,3,3,4,2,50,195,97500,34125,0.35,1
0,3,3,4,3,50,175,87500,35000,0.4,1
0,3,3,4,4,60,150,90000,31499,0.35,1
0,3,3,4,5,65,250,162499,81249,0.5,1
0,3,3,4,0,60,500,300000,120000,0.4,1
0,3,3,4,1,50,300,150000,52500,0.35,1
0,3,3,4,2,50,250,125000,43750,0.35,1
0,3,3,4,3,50,200,100000,40000,0.4,1
0,3,3,4,4,60,200,120000,42000,0.35,1
0,3,3,4,5,65,300,194999,97499,0.5,1
2,3,3,4,0,20,725,145000,43500,0.3,1
2,3,3,4,1,30,725,217500,65250,0.3,1
2,3,3,4,2,30,525,157500,47250,0.3,1
2,3,3,4,3,35,525,183750,73500,0.4,1
2,1,1,5,4,40,375,150000,37500,0.25,1
2,1,1,5,5,35,525,183750,82687,0.45,1
2,1,1,5,0,25,675,168750,50625,0.3,1
2,1,1,5,1,35,650,227500,68250,0.3,1
2,1,1,5,2,35,475,166250,49875,0.3,1
2,1,1,5,3,35,425,148750,59500,0.4,1
2,1,1,5,4,40,300,120000,30000,0.25,1
2,1,1,5,5,35,500,175000,78750,0.45,1
2,1,1,5,0,30,675,202500,70875,0.35,1
2,1,1,5,1,40,675,270000,94500,0.35,1
2,1,1,5,2,30,500,150000,52500,0.35,1
2,1,1,5,3,35,400,140000,63000,0.45,1
2,1,1,5,4,40,300,120000,36000,0.3,1
2,1,1,5,5,35,450,157500,78750,0.5,1
2,1,1,5,0,20,700,140000,49000,0.35,1
2,1,1,5,1,30,700,210000,73500,0.35,1
2,1,1,5,2,25,525,131249,45937,0.35,1
2,1,1,5,3,30,425,127500,57375,0.45,1
2,1,1,5,4,35,325,113750,34125,0.3,1
2,1,1,5,5,30,600,180000,90000,0.5,1
2,1,1,5,0,20,750,150000,52500,0.35,1
2,1,1,5,1,30,775,232500,81375,0.35,1
2,1,1,5,2,25,625,156249,54687,0.35,1
2,1,1,5,3,35,550,192500,86625,0.45,1
2,1,1,5,4,50,450,225000,67500,0.3,1
2,1,1,5,5,45,800,360000,180000,0.5,1
2,1,1,5,0,45,800,360000,125999,0.35,1
2,1,1,5,1,50,800,400000,140000,0.35,1
2,1,1,5,2,45,650,292500,102375,0.35,1
2,1,1,5,3,45,600,270000,121500,0.45,1
2,1,1,5,4,50,500,250000,75000,0.3,1
2,1,1,5,5,55,875,481250,240625,0.5,1
2,1,1,5,0,45,825,371250,148500,0.4,1
2,1,1,5,1,50,825,412500,165000,0.4,1
2,1,1,5,2,45,975,438750,175499,0.4,1
2,1,1,5,3,45,575,258750,129375,0.5,1
2,1,1,5,4,50,575,287500,100625,0.35,1
2,1,1,5,5,60,850,510000,280500,0.55,1
2,1,1,5,0,50,800,400000,160000,0.4,1
2,1,1,5,1,55,800,440000,176000,0.4,1
2,1,1,5,2,50,975,487500,194999,0.4,1
2,1,1,5,3,50,525,262500,131250,0.5,1
2,1,1,5,4,55,525,288750,101062,0.35,1
2,1,1,5,5,60,775,465000,255750,0.55,1
2,1,1,5,0,55,725,398750,159500,0.4,1
2,1,1,5,1,55,675,371250,148500,0.4,1
2,1,1,5,2,60,725,435000,174000,0.4,1
2,1,1,5,3,60,450,270000,135000,0.5,1
2,1,1,5,4,55,450,247500,86625,0.35,1
2,1,1,5,5,50,675,337500,185625,0.55,1
2,1,1,5,0,40,625,250000,99999,0.4,1
2,1,1,5,1,40,625,250000,99999,0.4,1
2,1,1,5,2,45,575,258750,103499,0.4,1
2,1,1,5,3,45,425,191250,95625,0.5,1
2,1,1,5,4,40,400,160000,56000,0.35,1
2,1,1,5,5,50,575,287500,158125,0.55,1
2,1,1,5,0,40,725,290000,115999,0.4,1
2,1,1,5,1,40,725,290000,115999,0.4,1
2,1,1,5,2,65,650,422500,169000,0.4,1
2,1,1,5,3,65,500,325000,162500,0.5,1
2,1,1,5,4,60,475,285000,99750,0.35,1
2,1,1,5,5,70,675,472500,259875,0.55,1
2,1,1,5,0,60,825,495000,197999,0.4,1
2,1,1,5,1,60,825,495000,197999,0.4,1
2,1,1,5,2,65,725,471250,188499,0.4,1
2,1,1,5,3,65,575,373750,186875,0.5,1
2,1,1,5,4,60,525,315000,110250,0.35,1
2,1,1,5,5,70,775,542500,298375,0.55,1
0,1,1,5,0,45,425,191250,105187,0.55,1
0,1,1,5,1,45,225,101250,35437,0.35,1
0,1,1,5,2,35,225,78750,31499,0.4,1
0,1,1,5,3,40,75,30000,11999,0.4,1
0,0,4,6,4,55,125,68749,24062,0.35,1
0,0,4,6,5,45,225,101250,30375,0.3,1
0,0,4,6,0,45,475,213750,117562,0.55,1
0,0,4,6,1,45,125,56250,19687,0.35,1
0,0,4,6,2,35,175,61250,24499,0.4,1
0,0,4,6,3,40,50,20000,7999,0.4,1
0,0,4,6,4,55,125,68749,24062,0.35,1
0,0,4,6,5,45,225,101250,30375,0.3,1
0,0,4,6,0,50,445,222500,122375,0.55,1
0,0,4,6,1,50,150,75000,26250,0.35,1
0,0,4,6,2,40,175,70000,27999,0.4,1
0,0,4,6,3,45,25,11250,4500,0.4,1
0,0,4,6,4,60,75,45000,13500,0.3,1
0,0,4,6,5,50,175,87500,21875,0.25,1
0,0,4,6,0,50,450,225000,112500,0.5,1
0,0,4,6,1,50,150,75000,22500,0.3,1
0,0,4,6,2,40,150,60000,21000,0.35,1
0,0,4,6,3,45,75,33750,11812,0.35,1
0,0,4,6,4,60,75,45000,13500,0.3,1
0,0,4,6,5,50,200,100000,25000,0.25,1
0,0,4,6,0,60,470,282000,141000,0.5,1
0,0,4,6,1,60,175,105000,31500,0.3,1
0,0,4,6,2,55,150,82500,28875,0.35,1
0,0,4,6,3,55,100,55000,19250,0.35,1
0,0,4,6,4,65,125,81250,24375,0.3,1
0,0,4,6,5,70,250,175000,52500,0.3,1
0,0,4,6,0,65,500,325000,178750,0.55,1
0,0,4,6,1,60,250,150000,52500,0.35,1
0,0,4,6,2,55,175,96250,38500,0.4,1
0,0,4,6,3,55,150,82500,33000,0.4,1
0,0,4,6,4,65,150,97500,34125,0.35,1
0,0,4,6,5,70,300,210000,63000,0.3,1
0,0,4,6,0,65,500,325000,178750,0.55,1
0,0,4,6,1,60,300,180000,63000,0.35,1
0,0,4,6,2,55,225,123750,49500,0.4,1
0,0,4,6,3,55,175,96250,38500,0.4,1
0,0,4,6,4,65,200,130000,45500,0.35,1
0,0,4,6,5,70,375,262500,78750,0.3,1
0,0,4,6,0,65,525,341250,187687,0.55,1
0,0,4,6,1,60,300,180000,63000,0.35,1
0,0,4,6,2,55,225,123750,49500,0.4,1
0,0,4,6,3,55,200,110000,44000,0.4,1
0,0,4,6,4,65,175,113750,39812,0.35,1
0,0,4,6,5,70,350,245000,73500,0.3,1
0,0,4,6,0,65,475,308750,154375,0.5,1
0,0,4,6,1,50,275,137500,41250,0.3,1
0,0,4,6,2,45,200,90000,31499,0.35,1
0,0,4,6,3,45,175,78750,27562,0.35,1
0,0,4,6,4,55,125,68749,20624,0.3,1
0,0,4,6,5,60,225,135000,33750,0.25,1
0,0,4,6,0,60,400,240000,120000,0.5,1
0,0,4,6,1,50,225,112500,33750,0.3,1
0,0,4,6,2,50,125,62500,21875,0.35,1
0,0,4,6,3,50,100,50000,17500,0.35,1
0,0,4,6,4,60,100,60000,18000,0.3,1
0,0,4,6,5,65,225,146249,36562,0.25,1
0,0,4,6,0,70,375,262500,144375,0.55,1
0,0,4,6,1,60,200,120000,42000,0.35,1
0,0,4,6,2,60,195,117000,46800,0.4,1
0,0,4,6,3,60,175,105000,42000,0.4,1
0,0,4,6,4,70,150,105000,36750,0.35,1
0,0,4,6,5,75,250,187500,56250,0.3,1
0,0,4,6,0,70,475,332500,182875,0.55,1
0,0,4,6,1,60,275,165000,57750,0.35,1
0,0,4,6,2,60,225,135000,54000,0.4,1
0,0,4,6,3,60,175,105000,42000,0.4,1
0,0,4,6,4,70,175,122500,42875,0.35,1
0,0,4,6,5,75,275,206250,61875,0.3,1
3,0,4,6,0,35,450,157500,63000,0.4,1
3,0,4,6,1,45,450,202500,50625,0.25,1
3,0,4,6,2,45,450,202500,81000,0.4,1
3,0,4,6,3,45,300,135000,47250,0.35,1
3,2,5,7,4,50,250,125000,68750,0.55,1
3,2,5,7,5,45,475,213750,42750,0.2,1
3,2,5,7,0,35,525,183750,73500,0.4,1
3,2,5,7,1,45,425,191250,47812,0.25,1
3,2,5,7,2,45,425,191250,76500,0.4,1
3,2,5,7,3,45,275,123750,43312,0.35,1
3,2,5,7,4,50,200,100000,55000,0.55,1
3,2,5,7,5,45,400,180000,36000,0.2,1
3,2,5,7,0,45,550,247500,99000,0.4,1
3,2,5,7,1,55,400,219999,54999,0.25,1
3,2,5,7,2,55,400,219999,88000,0.4,1
3,2,5,7,3,55,300,164999,57749,0.35,1
3,2,5,7,4,60,175,105000,57750,0.55,1
3,2,5,7,5,55,375,206249,41250,0.2,1
3,2,5,7,0,60,550,330000,132000,0.4,1
3,2,5,7,1,65,350,227500,56875,0.25,1
3,2,5,7,2,65,400,260000,104000,0.4,1
3,2,5,7,3,60,300,180000,62999,0.35,1
3,2,5,7,4,65,200,130000,71500,0.55,1
3,2,5,7,5,80,350,280000,56000,0.2,1
3,2,5,7,0,60,550,330000,148500,0.45,1
3,2,5,7,1,65,400,260000,78000,0.3,1
3,2,5,7,2,65,400,260000,117000,0.45,1
3,2,5,7,3,60,300,180000,72000,0.4,1
3,2,5,7,4,65,200,130000,78000,0.6,1
3,2,5,7,5,80,450,360000,90000,0.25,1
3,2,5,7,0,60,700,420000,189000,0.45,1
3,2,5,7,1,65,550,357500,107250,0.3,1
3,2,5,7,2,65,550,357500,160875,0.45,1
